title,brand,image_url,priced_before,discount_percent,current_price,size
Typographic Print Round-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/h30/h6e/14171328970782/-286Wx359H-440996915-lightyellow-MODEL.jpg,299,51% off,147,[S-L-XL]
Foil Print Fit & Flare Dress,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h53/hcd/14720051019806/-286Wx359H-441030031-ltpeach-MODEL.jpg,799,49% off,407,[3-4Y-5-6Y]
Lightly Washed Jeans,YB DNMX,https://assets.ajio.com/medias/sys_master/root/h70/h6a/14510962180126/-286Wx359H-441018125-darkblue-MODEL.jpg,849,49% off,433,[7-8Y-9-10Y-11-12Y-13-14Y]
Floral Print Straight Kurta with Roll-Tab Sleeves,FUSION,https://assets.ajio.com/medias/sys_master/root/h95/hc0/15739840921630/-286Wx359H-441025531-peach-MODEL.jpg,499,30% off,349,NA
Printed Straight Kurta with Band Collar,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hda/hd9/15624264187934/-286Wx359H-441057628-red-MODEL.jpg,499,20% off,399,[XS-S-M-L-XL-XXL]
Striped Straight Kurta with Insert Pockets,Jaipur Kurti,https://assets.ajio.com/medias/sys_master/root/h25/h5b/13312461537310/-286Wx359H-460352605-blue-MODEL.jpg,2199,70% off,660,[XS-S]
Floral Print Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h98/h7b/16977120821278/-286Wx359H-441064189-ltpeach-MODEL.jpg,499,30% off,349,[XS-S-M-L-XL-XXL]
Lightly Washed High-Rise Skinny Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/hce/he0/14798118256670/-286Wx359H-441020221-grey-MODEL.jpg,999,49% off,509,[26-28]
High-Rise Mid-Wash Cropped Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/h87/h3e/14771723894814/-286Wx359H-441020223-darkblue-MODEL.jpg,1299,49% off,662,[26-28-30-32-34]
Graphic Print Crew-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/h7b/hb9/15204167221278/-286Wx359H-441052717-pink-MODEL.jpg,299,20% off,239,[XS-S-M-XL]
